date,close,high,low,open,volume
2020-11-03 00:00:00+00:00,265.3,270.05,260.88,263.16,17961859
2020-11-04 00:00:00+00:00,287.38,288.94,278.62,281.0,35364424
2020-11-05 00:00:00+00:00,294.68,297.38,288.95,291.8965,23823633
2020-11-06 00:00:00+00:00,293.41,294.6,288.06,293.95,13890974
2020-11-09 00:00:00+00:00,278.77,292.58,278.53,289.87,25117650
2020-11-10 00:00:00+00:00,272.43,274.0,264.0,273.1,29067691
2020-11-11 00:00:00+00:00,276.48,278.4,272.48,273.47,14956950
2020-11-12 00:00:00+00:00,275.08,279.75,274.43,277.18,12914206
2020-11-13 00:00:00+00:00,276.95,277.76,273.1,277.72,10400101
2020-11-16 00:00:00+00:00,278.96,279.41,274.63,275.05,12970352
2020-11-17 00:00:00+00:00,275.0,277.68,273.29,277.68,15040297
2020-11-18 00:00:00+00:00,271.97,277.3889,271.84,274.52,12152945
2020-11-19 00:00:00+00:00,272.94,273.47,269.19,271.025,12963658
2020-11-20 00:00:00+00:00,269.7,273.0,269.41,272.56,18122412
2020-11-23 00:00:00+00:00,268.43,270.9471,264.53,270.89,20990786
2020-11-24 00:00:00+00:00,276.92,277.8199,267.87,268.49,16852501
2020-11-25 00:00:00+00:00,275.59,280.18,272.65,278.14,12467009
2020-11-27 00:00:00+00:00,277.81,279.13,274.82,277.39,7808426
2020-11-30 00:00:00+00:00,276.97,277.7,271.01,276.03,16693336
2020-12-01 00:00:00+00:00,286.55,289.3,278.96,279.16,20602115
2020-12-02 00:00:00+00:00,287.52,291.78,280.825,285.36,17361624
2020-12-03 00:00:00+00:00,281.85,286.65,281.07,286.25,12921694
2020-12-04 00:00:00+00:00,279.7,283.46,279.3,280.3,10880299
2020-12-07 00:00:00+00:00,285.58,288.49,278.2,279.19,13007665
2020-12-08 00:00:00+00:00,283.4,286.4272,281.55,286.01,10747650
2020-12-09 00:00:00+00:00,277.92,287.63,271.75,283.66,25189707
2020-12-10 00:00:00+00:00,277.12,278.73,271.86,275.535,20065091
2020-12-11 00:00:00+00:00,273.55,276.48,270.25,274.53,14391401
2020-12-14 00:00:00+00:00,274.19,277.22,271.56,273.3722,16376880
2020-12-15 00:00:00+00:00,275.55,276.08,267.47,274.83,23979461
2020-12-16 00:00:00+00:00,275.67,277.86,272.51,274.76,15884999
2020-12-17 00:00:00+00:00,274.48,280.44,273.61,277.07,16377844
2020-12-18 00:00:00+00:00,276.4,278.0,271.14,275.775,26693249
2020-12-21 00:00:00+00:00,272.79,274.67,267.79,272.978,16553740
2020-12-22 00:00:00+00:00,267.09,271.5,264.63,271.5,17334999
2020-12-23 00:00:00+00:00,268.11,272.1699,266.23,266.89,14329038
2020-12-24 00:00:00+00:00,267.4,270.4,266.2,268.875,6702033
2020-12-28 00:00:00+00:00,277.0,277.3,265.66,268.74,23123385
2020-12-29 00:00:00+00:00,276.78,280.51,276.28,276.95,16382995
